mfld loss = 0.6492977142333984, ntk loss = 0.7762852311134338
mfld loss = 0.6389102339744568, ntk loss = 0.7569384574890137
mfld loss = 0.5954472422599792, ntk loss = 0.7592304944992065
mfld loss = 0.6991683840751648, ntk loss = 0.7586804032325745
mfld loss = 0.5560325980186462, ntk loss = 0.7388556003570557
mfld loss = 0.5886114835739136, ntk loss = 0.7337393760681152
mfld loss = 0.5373560786247253, ntk loss = 0.7181087136268616
mfld loss = 0.5910981893539429, ntk loss = 0.7392088174819946
mfld loss = 0.5693327784538269, ntk loss = 0.7078721523284912
mfld loss = 0.5163747072219849, ntk loss = 0.7371200323104858
mfld loss = 0.5765005946159363, ntk loss = 0.7022355198860168
mfld loss = 0.7061236500740051, ntk loss = 0.7715309858322144
mfld loss = 0.5999172925949097, ntk loss = 0.7377621531486511
mfld loss = 0.597163200378418, ntk loss = 0.7466205954551697
mfld loss = 0.655351459980011, ntk loss = 0.7506289482116699
mfld loss = 0.4296548366546631, ntk loss = 0.6768990755081177
mfld loss = 0.47093382477760315, ntk loss = 0.6697176098823547
mfld loss = 0.48808005452156067, ntk loss = 0.6853448152542114
mfld loss = 0.6091450452804565, ntk loss = 0.6300272941589355
mfld loss = 0.4742729067802429, ntk loss = 0.6569606065750122
mfld loss = 0.5833316445350647, ntk loss = 0.670644998550415
mfld loss = 0.47262588143348694, ntk loss = 0.591361403465271
mfld loss = 0.6080478429794312, ntk loss = 0.6362239122390747
mfld loss = 0.6209295392036438, ntk loss = 0.7034422755241394
mfld loss = 0.5722175240516663, ntk loss = 0.6778073906898499
mfld loss = 0.5877835750579834, ntk loss = 0.6501182317733765
mfld loss = 0.6017412543296814, ntk loss = 0.6569885611534119
mfld loss = 0.7370269894599915, ntk loss = 0.759905219078064
mfld loss = 0.46099063754081726, ntk loss = 0.5786198973655701
mfld loss = 0.5356590151786804, ntk loss = 0.5531099438667297
mfld loss = 0.4396246671676636, ntk loss = 0.5454530119895935
mfld loss = 0.45413661003112793, ntk loss = 0.5167434811592102
mfld loss = 0.5572657585144043, ntk loss = 0.6300480365753174
mfld loss = 0.34099578857421875, ntk loss = 0.4744042754173279
mfld loss = 0.4611666798591614, ntk loss = 0.5071830749511719
mfld loss = 0.7467074394226074, ntk loss = 0.6839883327484131
mfld loss = 0.6310214996337891, ntk loss = 0.6118506193161011
mfld loss = 0.6400642395019531, ntk loss = 0.6252055168151855
mfld loss = 0.5768381357192993, ntk loss = 0.5660996437072754
mfld loss = 0.6592332124710083, ntk loss = 0.5866075754165649
mfld loss = 0.6765109300613403, ntk loss = 0.6183359622955322
mfld loss = 0.45034411549568176, ntk loss = 0.4459112584590912
mfld loss = 0.5474052429199219, ntk loss = 0.5362946391105652
mfld loss = 0.5768388509750366, ntk loss = 0.5832885503768921
mfld loss = 0.44532912969589233, ntk loss = 0.4363568127155304
mfld loss = 0.7015010714530945, ntk loss = 0.6633909940719604
mfld loss = 0.6473171710968018, ntk loss = 0.5908443927764893
mfld loss = 0.6161461472511292, ntk loss = 0.5400348901748657
mfld loss = 0.48731330037117004, ntk loss = 0.45506131649017334
mfld loss = 0.6194801330566406, ntk loss = 0.4895285367965698
mfld loss = 0.6171872615814209, ntk loss = 0.5245208144187927
mfld loss = 0.5289955735206604, ntk loss = 0.5273658037185669
mfld loss = 0.5746735334396362, ntk loss = 0.5479376316070557
mfld loss = 0.5067425966262817, ntk loss = 0.5065243244171143
mfld loss = 0.506402850151062, ntk loss = 0.4903401732444763
mfld loss = 0.6359992623329163, ntk loss = 0.5456523895263672
mfld loss = 0.32237887382507324, ntk loss = 0.3674539029598236
mfld loss = 0.4119371771812439, ntk loss = 0.4063964784145355
mfld loss = 0.44964534044265747, ntk loss = 0.3931981921195984
mfld loss = 0.5892310738563538, ntk loss = 0.5130034685134888
mfld loss = 0.6312066912651062, ntk loss = 0.624761700630188
mfld loss = 0.497324675321579, ntk loss = 0.4635140895843506
mfld loss = 0.6180837154388428, ntk loss = 0.5847675800323486
mfld loss = 0.505876362323761, ntk loss = 0.5141730904579163
mfld loss = 0.5354474782943726, ntk loss = 0.5158884525299072
mfld loss = 0.48970335721969604, ntk loss = 0.4601324498653412
mfld loss = 0.4657951891422272, ntk loss = 0.48896482586860657
mfld loss = 0.6667953133583069, ntk loss = 0.6029430031776428
mfld loss = 0.4222968816757202, ntk loss = 0.3788337707519531
mfld loss = 0.4503612816333771, ntk loss = 0.4750370681285858
mfld loss = 0.5543785691261292, ntk loss = 0.5624356865882874
mfld loss = 0.4658704996109009, ntk loss = 0.5420812964439392
mfld loss = 0.4695991277694702, ntk loss = 0.5472400188446045
mfld loss = 0.473071426153183, ntk loss = 0.5626447796821594
mfld loss = 0.5580931901931763, ntk loss = 0.592010498046875
mfld loss = 0.4634917974472046, ntk loss = 0.5335723161697388
mfld loss = 0.6630239486694336, ntk loss = 0.7165721654891968
mfld loss = 0.44165000319480896, ntk loss = 0.5804710984230042
mfld loss = 0.575027585029602, ntk loss = 0.6650188565254211
mfld loss = 0.6676908135414124, ntk loss = 0.6989316940307617
mfld loss = 0.5117976069450378, ntk loss = 0.5829305648803711
mfld loss = 0.5574639439582825, ntk loss = 0.6924778819084167
mfld loss = 0.48192015290260315, ntk loss = 0.5802896618843079
mfld loss = 0.4069508910179138, ntk loss = 0.612228512763977
mfld loss = 0.7439079880714417, ntk loss = 0.8533498048782349
mfld loss = 0.6022583842277527, ntk loss = 0.7196691036224365
mfld loss = 0.5122247934341431, ntk loss = 0.6270402669906616
mfld loss = 0.5030048489570618, ntk loss = 0.7307083606719971
mfld loss = 0.5511859655380249, ntk loss = 0.7740283608436584
