mfld loss = 0.9909248948097229, ntk loss = 0.9963663816452026
mfld loss = 0.9897951483726501, ntk loss = 0.9931477308273315
mfld loss = 0.9868527054786682, ntk loss = 0.9946967959403992
mfld loss = 0.9903550744056702, ntk loss = 0.9957208037376404
mfld loss = 0.9874693155288696, ntk loss = 0.9949113130569458
mfld loss = 0.987034797668457, ntk loss = 0.9942411780357361
mfld loss = 0.9896240234375, ntk loss = 0.9945060014724731
mfld loss = 0.9882331490516663, ntk loss = 0.9954812526702881
mfld loss = 0.9876932501792908, ntk loss = 0.9919841289520264
mfld loss = 0.9848058819770813, ntk loss = 0.9961754679679871
mfld loss = 0.9864546060562134, ntk loss = 0.9918807744979858
mfld loss = 0.988552451133728, ntk loss = 0.9955829381942749
mfld loss = 0.9885728359222412, ntk loss = 0.9969967603683472
mfld loss = 0.9861083626747131, ntk loss = 0.9944573640823364
mfld loss = 0.9882696270942688, ntk loss = 0.9926252365112305
mfld loss = 0.9850491285324097, ntk loss = 0.9961649179458618
mfld loss = 0.986611545085907, ntk loss = 0.9928054809570312
mfld loss = 0.9821813702583313, ntk loss = 0.9934747815132141
mfld loss = 0.984403669834137, ntk loss = 0.9941718578338623
mfld loss = 0.9863072633743286, ntk loss = 0.9943121075630188
mfld loss = 0.986225426197052, ntk loss = 0.9950360655784607
mfld loss = 0.9872334003448486, ntk loss = 0.9925352334976196
mfld loss = 0.9812446236610413, ntk loss = 0.9933192133903503
mfld loss = 0.9834691882133484, ntk loss = 0.9952677488327026
mfld loss = 0.9804515838623047, ntk loss = 0.9918869733810425
mfld loss = 0.983677089214325, ntk loss = 0.9927722811698914
mfld loss = 0.9855467081069946, ntk loss = 0.9962378740310669
mfld loss = 0.9780341982841492, ntk loss = 0.991654634475708
mfld loss = 0.9766549468040466, ntk loss = 0.9943739175796509
mfld loss = 0.9801748394966125, ntk loss = 0.995126485824585
mfld loss = 0.9798518419265747, ntk loss = 0.9943482875823975
mfld loss = 0.9849736094474792, ntk loss = 0.9952122569084167
mfld loss = 0.9819418787956238, ntk loss = 0.9923616051673889
mfld loss = 0.9851958155632019, ntk loss = 0.9964422583580017
mfld loss = 0.9795258045196533, ntk loss = 0.9933745265007019
mfld loss = 0.977428138256073, ntk loss = 0.992641270160675
mfld loss = 0.9800443053245544, ntk loss = 0.9918071627616882
mfld loss = 0.9776922464370728, ntk loss = 0.9936297535896301
mfld loss = 0.9794037342071533, ntk loss = 0.9938580393791199
mfld loss = 0.9762654900550842, ntk loss = 0.9886071681976318
mfld loss = 0.973875105381012, ntk loss = 0.9914012551307678
mfld loss = 0.9799404740333557, ntk loss = 0.9908230304718018
mfld loss = 0.9837952852249146, ntk loss = 0.9953274130821228
mfld loss = 0.9731847643852234, ntk loss = 0.9914903044700623
mfld loss = 0.9732493162155151, ntk loss = 0.9909492135047913
mfld loss = 0.9781690835952759, ntk loss = 0.9927652478218079
mfld loss = 0.9696389436721802, ntk loss = 0.9907777309417725
mfld loss = 0.9719902873039246, ntk loss = 0.994516909122467
mfld loss = 0.9768168330192566, ntk loss = 0.9973453879356384
mfld loss = 0.9768015742301941, ntk loss = 0.9945393800735474
mfld loss = 0.978205680847168, ntk loss = 0.9939541220664978
mfld loss = 0.9811596274375916, ntk loss = 0.9958949089050293
mfld loss = 0.9742681384086609, ntk loss = 0.9948691129684448
mfld loss = 0.9676267504692078, ntk loss = 0.9923498034477234
mfld loss = 0.9695913195610046, ntk loss = 0.9918767809867859
mfld loss = 0.967888593673706, ntk loss = 0.990913987159729
mfld loss = 0.9657219648361206, ntk loss = 0.9896746873855591
mfld loss = 0.967789888381958, ntk loss = 0.9895286560058594
mfld loss = 0.9716154336929321, ntk loss = 0.9951951503753662
mfld loss = 0.965587317943573, ntk loss = 0.989794135093689
mfld loss = 0.9590178728103638, ntk loss = 0.9907105565071106
mfld loss = 0.9688296914100647, ntk loss = 0.9898199439048767
mfld loss = 0.9736312627792358, ntk loss = 0.9957850575447083
mfld loss = 0.962580680847168, ntk loss = 0.9889194965362549
mfld loss = 0.9574070572853088, ntk loss = 0.9886909127235413
mfld loss = 0.9583113789558411, ntk loss = 0.9922213554382324
mfld loss = 0.9624422788619995, ntk loss = 0.9904085993766785
mfld loss = 0.9726843237876892, ntk loss = 0.993678867816925
mfld loss = 0.96939617395401, ntk loss = 0.9939321875572205
mfld loss = 0.9621970653533936, ntk loss = 0.9925485253334045
mfld loss = 0.9583607316017151, ntk loss = 0.9886437058448792
mfld loss = 0.9624587893486023, ntk loss = 0.9904729723930359
mfld loss = 0.9553118944168091, ntk loss = 0.9878728985786438
mfld loss = 0.9537730813026428, ntk loss = 0.9919221997261047
mfld loss = 0.9602864384651184, ntk loss = 0.994277834892273
mfld loss = 0.961715042591095, ntk loss = 0.9938004612922668
mfld loss = 0.9571845531463623, ntk loss = 0.9925153851509094
mfld loss = 0.9508198499679565, ntk loss = 0.9913870692253113
mfld loss = 0.9543656706809998, ntk loss = 0.9917749762535095
mfld loss = 0.9510123133659363, ntk loss = 0.9904559254646301
mfld loss = 0.9608914852142334, ntk loss = 0.9962131381034851
mfld loss = 0.9457390308380127, ntk loss = 0.9891987442970276
mfld loss = 0.956766664981842, ntk loss = 0.9906996488571167
mfld loss = 0.946793794631958, ntk loss = 0.9908205270767212
mfld loss = 0.9565923810005188, ntk loss = 0.993709146976471
mfld loss = 0.9508413672447205, ntk loss = 0.9916395545005798
mfld loss = 0.9447575807571411, ntk loss = 0.9903903603553772
mfld loss = 0.9534411430358887, ntk loss = 0.9890369772911072
mfld loss = 0.9518330693244934, ntk loss = 0.9918234944343567
mfld loss = 0.9567753672599792, ntk loss = 0.9935914874076843
mfld loss = 0.9428707957267761, ntk loss = 0.9903041124343872
mfld loss = 0.9383033514022827, ntk loss = 0.9889360070228577
mfld loss = 0.9490548372268677, ntk loss = 0.9897978901863098
mfld loss = 0.942429780960083, ntk loss = 0.9908218383789062
mfld loss = 0.9506831169128418, ntk loss = 0.9917775988578796
mfld loss = 0.9403618574142456, ntk loss = 0.9898201823234558
mfld loss = 0.9410796761512756, ntk loss = 0.9906165599822998
mfld loss = 0.9364314675331116, ntk loss = 0.9869058132171631
mfld loss = 0.9376155138015747, ntk loss = 0.9904570579528809
mfld loss = 0.92623370885849, ntk loss = 0.9865197539329529
mfld loss = 0.9311739802360535, ntk loss = 0.9888951778411865
mfld loss = 0.9274165034294128, ntk loss = 0.9902399778366089
mfld loss = 0.9383261799812317, ntk loss = 0.9884404540061951
mfld loss = 0.9362913370132446, ntk loss = 0.9919553995132446
mfld loss = 0.9546734690666199, ntk loss = 0.9945356249809265
mfld loss = 0.9306020736694336, ntk loss = 0.9897895455360413
mfld loss = 0.9372437000274658, ntk loss = 0.9925106763839722
mfld loss = 0.9466694593429565, ntk loss = 0.9886959791183472
mfld loss = 0.9232232570648193, ntk loss = 0.987726628780365
mfld loss = 0.9287673830986023, ntk loss = 0.9878713488578796
mfld loss = 0.9402379393577576, ntk loss = 0.9917914867401123
mfld loss = 0.940639317035675, ntk loss = 0.9918301701545715
mfld loss = 0.9183285236358643, ntk loss = 0.9858898520469666
mfld loss = 0.9339414834976196, ntk loss = 0.9900007247924805
mfld loss = 0.9383504390716553, ntk loss = 0.992806077003479
mfld loss = 0.9178153872489929, ntk loss = 0.991836428642273
mfld loss = 0.9054075479507446, ntk loss = 0.9856210350990295
mfld loss = 0.9144001603126526, ntk loss = 0.9881008863449097
mfld loss = 0.8907644748687744, ntk loss = 0.9891132116317749
mfld loss = 0.916985273361206, ntk loss = 0.9886704683303833
mfld loss = 0.9240962862968445, ntk loss = 0.9902856349945068
mfld loss = 0.9105069041252136, ntk loss = 0.986226499080658
mfld loss = 0.9218353033065796, ntk loss = 0.9917510151863098
mfld loss = 0.908869743347168, ntk loss = 0.9904676079750061
mfld loss = 0.9228841662406921, ntk loss = 0.9939420819282532
mfld loss = 0.9330679774284363, ntk loss = 0.9927247166633606
mfld loss = 0.8992257714271545, ntk loss = 0.98752361536026
mfld loss = 0.9167724251747131, ntk loss = 0.9878918528556824
mfld loss = 0.899758517742157, ntk loss = 0.9880407452583313
mfld loss = 0.9115907549858093, ntk loss = 0.9908880591392517
mfld loss = 0.8938477635383606, ntk loss = 0.9899063110351562
mfld loss = 0.9014043807983398, ntk loss = 0.9859780669212341
mfld loss = 0.8981147408485413, ntk loss = 0.9897752404212952
mfld loss = 0.8746361136436462, ntk loss = 0.9856507778167725
mfld loss = 0.8858346939086914, ntk loss = 0.9864587187767029
mfld loss = 0.8743612766265869, ntk loss = 0.9857174754142761
mfld loss = 0.9009218215942383, ntk loss = 0.9871096611022949
mfld loss = 0.8835161924362183, ntk loss = 0.9866763353347778
mfld loss = 0.8971847295761108, ntk loss = 0.9918320775032043
mfld loss = 0.9095844626426697, ntk loss = 0.9888203740119934
mfld loss = 0.9025899171829224, ntk loss = 0.9908555150032043
mfld loss = 0.9029141068458557, ntk loss = 0.9904629588127136
mfld loss = 0.8975875377655029, ntk loss = 0.9894067645072937
mfld loss = 0.8671619296073914, ntk loss = 0.9849144816398621
mfld loss = 0.8863699436187744, ntk loss = 0.9870349764823914
mfld loss = 0.8961320519447327, ntk loss = 0.9905886650085449
mfld loss = 0.8971400856971741, ntk loss = 0.9890772700309753
mfld loss = 0.9141048192977905, ntk loss = 0.9930316209793091
mfld loss = 0.911941409111023, ntk loss = 0.9906373620033264
mfld loss = 0.8899300694465637, ntk loss = 0.9920367002487183
mfld loss = 0.8714376091957092, ntk loss = 0.9877661466598511
mfld loss = 0.9014179110527039, ntk loss = 0.9916161298751831
mfld loss = 0.900049090385437, ntk loss = 0.9931251406669617
mfld loss = 0.876056969165802, ntk loss = 0.9899551272392273
mfld loss = 0.9248805046081543, ntk loss = 0.9945069551467896
mfld loss = 0.8628832697868347, ntk loss = 0.9906989336013794
mfld loss = 0.8653663992881775, ntk loss = 0.9864277243614197
mfld loss = 0.8681197762489319, ntk loss = 0.9865849614143372
mfld loss = 0.8508210778236389, ntk loss = 0.9864211678504944
mfld loss = 0.8616642355918884, ntk loss = 0.9897473454475403
mfld loss = 0.8831074237823486, ntk loss = 0.9889543056488037
mfld loss = 0.84017413854599, ntk loss = 0.9854494333267212
