mfld loss = 0.991683840751648, ntk loss = 0.9981147646903992
mfld loss = 0.9916101098060608, ntk loss = 0.9965122938156128
mfld loss = 0.990909993648529, ntk loss = 0.9954519271850586
mfld loss = 0.9897911548614502, ntk loss = 0.9963957071304321
mfld loss = 0.9905418753623962, ntk loss = 0.997307538986206
mfld loss = 0.9898039102554321, ntk loss = 0.9972597360610962
mfld loss = 0.9909202456474304, ntk loss = 0.9973189830780029
mfld loss = 0.9866576194763184, ntk loss = 0.9964833855628967
mfld loss = 0.9883154034614563, ntk loss = 0.9950326085090637
mfld loss = 0.9859778881072998, ntk loss = 0.994523286819458
mfld loss = 0.9882685542106628, ntk loss = 0.9972115755081177
mfld loss = 0.9869698882102966, ntk loss = 0.9942212700843811
mfld loss = 0.9875701665878296, ntk loss = 0.9967365264892578
mfld loss = 0.9884924292564392, ntk loss = 0.996966540813446
mfld loss = 0.9883987307548523, ntk loss = 0.9954847693443298
mfld loss = 0.9880121946334839, ntk loss = 0.9958108067512512
mfld loss = 0.984647810459137, ntk loss = 0.9937230944633484
mfld loss = 0.9822472929954529, ntk loss = 0.9922515749931335
mfld loss = 0.9849909543991089, ntk loss = 0.9947976469993591
mfld loss = 0.98741614818573, ntk loss = 0.9964613318443298
mfld loss = 0.985599935054779, ntk loss = 0.9947384595870972
mfld loss = 0.9832352995872498, ntk loss = 0.993415117263794
mfld loss = 0.9838735461235046, ntk loss = 0.9949874877929688
mfld loss = 0.9832126498222351, ntk loss = 0.9945744276046753
mfld loss = 0.9843295812606812, ntk loss = 0.9937292337417603
mfld loss = 0.9817080497741699, ntk loss = 0.995473325252533
mfld loss = 0.9867061972618103, ntk loss = 0.995938241481781
mfld loss = 0.9833927154541016, ntk loss = 0.994553804397583
mfld loss = 0.9809005260467529, ntk loss = 0.9932466745376587
mfld loss = 0.9849216938018799, ntk loss = 0.9946459531784058
mfld loss = 0.9837206602096558, ntk loss = 0.9945571422576904
mfld loss = 0.9822127819061279, ntk loss = 0.9948477149009705
mfld loss = 0.9808990359306335, ntk loss = 0.994431734085083
mfld loss = 0.9791353344917297, ntk loss = 0.9935219287872314
mfld loss = 0.9801244735717773, ntk loss = 0.9955294728279114
mfld loss = 0.9791796803474426, ntk loss = 0.9936328530311584
mfld loss = 0.9822241067886353, ntk loss = 0.9937162399291992
mfld loss = 0.9790655374526978, ntk loss = 0.9940387010574341
mfld loss = 0.9793255925178528, ntk loss = 0.9940398335456848
mfld loss = 0.9761770367622375, ntk loss = 0.9935526251792908
mfld loss = 0.9792851805686951, ntk loss = 0.9944862127304077
mfld loss = 0.9777726531028748, ntk loss = 0.9942089915275574
mfld loss = 0.9810059666633606, ntk loss = 0.9949319362640381
mfld loss = 0.9759593605995178, ntk loss = 0.9941195249557495
mfld loss = 0.974156379699707, ntk loss = 0.9922289848327637
mfld loss = 0.9810067415237427, ntk loss = 0.9947773814201355
mfld loss = 0.9725048542022705, ntk loss = 0.9922502040863037
mfld loss = 0.9761633276939392, ntk loss = 0.9947279095649719
mfld loss = 0.9758704900741577, ntk loss = 0.993641197681427
mfld loss = 0.9774284958839417, ntk loss = 0.9933761358261108
mfld loss = 0.969902753829956, ntk loss = 0.9923908710479736
mfld loss = 0.9748960733413696, ntk loss = 0.9935041666030884
mfld loss = 0.9689114093780518, ntk loss = 0.9941428899765015
mfld loss = 0.9815614223480225, ntk loss = 0.9951722621917725
mfld loss = 0.9739853739738464, ntk loss = 0.9935529232025146
mfld loss = 0.969832718372345, ntk loss = 0.9927576184272766
mfld loss = 0.9656966328620911, ntk loss = 0.9898260831832886
mfld loss = 0.9791627526283264, ntk loss = 0.994557797908783
mfld loss = 0.9673281908035278, ntk loss = 0.9933971762657166
mfld loss = 0.9721090197563171, ntk loss = 0.993523359298706
mfld loss = 0.966268002986908, ntk loss = 0.9921383261680603
mfld loss = 0.9720381498336792, ntk loss = 0.9926363825798035
mfld loss = 0.9717972278594971, ntk loss = 0.9936155676841736
mfld loss = 0.9694236516952515, ntk loss = 0.9923406839370728
mfld loss = 0.9652433395385742, ntk loss = 0.9922510981559753
mfld loss = 0.969182014465332, ntk loss = 0.9933639168739319
mfld loss = 0.9659789800643921, ntk loss = 0.9912121295928955
mfld loss = 0.9773514866828918, ntk loss = 0.9953027963638306
mfld loss = 0.9685317873954773, ntk loss = 0.9930827021598816
mfld loss = 0.9663785099983215, ntk loss = 0.9916455745697021
mfld loss = 0.9747756123542786, ntk loss = 0.9954253435134888
mfld loss = 0.960883378982544, ntk loss = 0.9914318919181824
mfld loss = 0.9622573852539062, ntk loss = 0.9932166337966919
mfld loss = 0.9638733267784119, ntk loss = 0.9927117824554443
mfld loss = 0.9688518047332764, ntk loss = 0.9931855797767639
mfld loss = 0.952194333076477, ntk loss = 0.9904763102531433
mfld loss = 0.9703040719032288, ntk loss = 0.9937363862991333
mfld loss = 0.9620553255081177, ntk loss = 0.9919646382331848
mfld loss = 0.967810869216919, ntk loss = 0.9944692254066467
mfld loss = 0.9544877409934998, ntk loss = 0.9910838603973389
mfld loss = 0.9636642932891846, ntk loss = 0.9932191371917725
mfld loss = 0.9511803388595581, ntk loss = 0.9932044744491577
mfld loss = 0.9490635395050049, ntk loss = 0.9911669492721558
mfld loss = 0.9561057090759277, ntk loss = 0.9925599694252014
mfld loss = 0.9532487988471985, ntk loss = 0.9918203353881836
mfld loss = 0.9507409334182739, ntk loss = 0.9922509789466858
mfld loss = 0.9584867358207703, ntk loss = 0.9936613440513611
mfld loss = 0.9677358865737915, ntk loss = 0.9948989748954773
mfld loss = 0.9536761045455933, ntk loss = 0.992411732673645
mfld loss = 0.9469627141952515, ntk loss = 0.9913254976272583
mfld loss = 0.9638959169387817, ntk loss = 0.9954878687858582
mfld loss = 0.9360333681106567, ntk loss = 0.9892755746841431
mfld loss = 0.9356478452682495, ntk loss = 0.9888933897018433
mfld loss = 0.9474436640739441, ntk loss = 0.993050217628479
mfld loss = 0.95182204246521, ntk loss = 0.9938507676124573
mfld loss = 0.9413291811943054, ntk loss = 0.9909520745277405
mfld loss = 0.9401994347572327, ntk loss = 0.990177571773529
mfld loss = 0.937588632106781, ntk loss = 0.9906748533248901
mfld loss = 0.9467937350273132, ntk loss = 0.9915558695793152
mfld loss = 0.9452160596847534, ntk loss = 0.9931557774543762
mfld loss = 0.9495481848716736, ntk loss = 0.9930068850517273
mfld loss = 0.9363362193107605, ntk loss = 0.9894073009490967
mfld loss = 0.9218051433563232, ntk loss = 0.9897308945655823
mfld loss = 0.9537861943244934, ntk loss = 0.9939314126968384
mfld loss = 0.9359684586524963, ntk loss = 0.9924961924552917
mfld loss = 0.9355391263961792, ntk loss = 0.9904890060424805
mfld loss = 0.9289602637290955, ntk loss = 0.991196870803833
mfld loss = 0.9350507259368896, ntk loss = 0.991074800491333
mfld loss = 0.9330665469169617, ntk loss = 0.9910690188407898
mfld loss = 0.9364027380943298, ntk loss = 0.9913046956062317
mfld loss = 0.9140797853469849, ntk loss = 0.9901105761528015
mfld loss = 0.9337542653083801, ntk loss = 0.9916456937789917
mfld loss = 0.9246936440467834, ntk loss = 0.9905703663825989
mfld loss = 0.9202114939689636, ntk loss = 0.9885587096214294
mfld loss = 0.9119958281517029, ntk loss = 0.9896824359893799
mfld loss = 0.920295238494873, ntk loss = 0.9903419017791748
mfld loss = 0.9393775463104248, ntk loss = 0.9916818141937256
mfld loss = 0.9156884551048279, ntk loss = 0.990963876247406
mfld loss = 0.9289044141769409, ntk loss = 0.9908628463745117
mfld loss = 0.9183650612831116, ntk loss = 0.991148054599762
mfld loss = 0.9100906252861023, ntk loss = 0.9899389147758484
mfld loss = 0.929197371006012, ntk loss = 0.9917981028556824
mfld loss = 0.9353883266448975, ntk loss = 0.991818368434906
mfld loss = 0.9295452833175659, ntk loss = 0.9914773106575012
mfld loss = 0.9079194664955139, ntk loss = 0.9892512559890747
mfld loss = 0.9235034584999084, ntk loss = 0.9912837743759155
mfld loss = 0.9195014238357544, ntk loss = 0.9907965064048767
mfld loss = 0.9341932535171509, ntk loss = 0.9947929978370667
mfld loss = 0.931995689868927, ntk loss = 0.9940202236175537
mfld loss = 0.9301822185516357, ntk loss = 0.9910827279090881
mfld loss = 0.9032889604568481, ntk loss = 0.9892964959144592
mfld loss = 0.8993329405784607, ntk loss = 0.989715576171875
mfld loss = 0.9211666584014893, ntk loss = 0.9926179051399231
mfld loss = 0.8992416858673096, ntk loss = 0.9896548390388489
mfld loss = 0.8865640163421631, ntk loss = 0.9873688817024231
mfld loss = 0.910398542881012, ntk loss = 0.9898799061775208
mfld loss = 0.8728837370872498, ntk loss = 0.987505316734314
mfld loss = 0.8889915347099304, ntk loss = 0.9879392981529236
mfld loss = 0.9067855477333069, ntk loss = 0.9913031458854675
mfld loss = 0.8989733457565308, ntk loss = 0.9895979166030884
mfld loss = 0.8843934535980225, ntk loss = 0.9877687096595764
mfld loss = 0.9278247356414795, ntk loss = 0.9929775595664978
mfld loss = 0.8972533345222473, ntk loss = 0.9900431036949158
mfld loss = 0.8834888935089111, ntk loss = 0.9879730939865112
mfld loss = 0.8869339823722839, ntk loss = 0.9895927309989929
mfld loss = 0.8840402960777283, ntk loss = 0.9896113276481628
mfld loss = 0.9041257500648499, ntk loss = 0.9916071891784668
mfld loss = 0.905405580997467, ntk loss = 0.9925811290740967
mfld loss = 0.8948124647140503, ntk loss = 0.9900597333908081
mfld loss = 0.8692846298217773, ntk loss = 0.9874749779701233
mfld loss = 0.8734897971153259, ntk loss = 0.9884551167488098
mfld loss = 0.882322371006012, ntk loss = 0.9896136522293091
mfld loss = 0.9106433391571045, ntk loss = 0.9922471642494202
mfld loss = 0.8399162888526917, ntk loss = 0.9857675433158875
mfld loss = 0.895733118057251, ntk loss = 0.9912903308868408
mfld loss = 0.8901894688606262, ntk loss = 0.9908571243286133
mfld loss = 0.8789224028587341, ntk loss = 0.989104151725769
mfld loss = 0.8660656809806824, ntk loss = 0.9888511300086975
mfld loss = 0.8742815852165222, ntk loss = 0.9896005988121033
mfld loss = 0.8688634037971497, ntk loss = 0.9902145266532898
mfld loss = 0.8923346996307373, ntk loss = 0.9909655451774597
mfld loss = 0.8354035019874573, ntk loss = 0.9861728549003601
mfld loss = 0.8529375791549683, ntk loss = 0.9890275597572327
mfld loss = 0.8707442283630371, ntk loss = 0.9897131323814392
mfld loss = 0.8525928854942322, ntk loss = 0.9884679913520813
mfld loss = 0.8433688282966614, ntk loss = 0.9887290596961975
mfld loss = 0.8515453934669495, ntk loss = 0.9885140657424927
mfld loss = 0.8456595540046692, ntk loss = 0.9874975085258484
mfld loss = 0.8464473485946655, ntk loss = 0.9873024821281433
mfld loss = 0.8727731108665466, ntk loss = 0.9889571666717529
mfld loss = 0.8616294860839844, ntk loss = 0.9891002178192139
mfld loss = 0.8505747318267822, ntk loss = 0.9875540137290955
mfld loss = 0.8124261498451233, ntk loss = 0.9863988161087036
mfld loss = 0.829085111618042, ntk loss = 0.9858589768409729
mfld loss = 0.8645338416099548, ntk loss = 0.9896031618118286
mfld loss = 0.8206169009208679, ntk loss = 0.9879366755485535
mfld loss = 0.8388891220092773, ntk loss = 0.9863444566726685
mfld loss = 0.8409358263015747, ntk loss = 0.9887246489524841
mfld loss = 0.8240580558776855, ntk loss = 0.9877891540527344
mfld loss = 0.8192622065544128, ntk loss = 0.9861608743667603
mfld loss = 0.8115595579147339, ntk loss = 0.987312912940979
mfld loss = 0.8364791870117188, ntk loss = 0.9871412515640259
mfld loss = 0.821176290512085, ntk loss = 0.9884489178657532
mfld loss = 0.8076372146606445, ntk loss = 0.9860206246376038
mfld loss = 0.8087719678878784, ntk loss = 0.9855117797851562
mfld loss = 0.7914667129516602, ntk loss = 0.9855352640151978
mfld loss = 0.8242465853691101, ntk loss = 0.9879381060600281
mfld loss = 0.8322422504425049, ntk loss = 0.9886941313743591
mfld loss = 0.8042900562286377, ntk loss = 0.987985372543335
mfld loss = 0.7992997765541077, ntk loss = 0.9849207997322083
mfld loss = 0.8646236062049866, ntk loss = 0.9908169507980347
mfld loss = 0.8216471672058105, ntk loss = 0.9881093502044678
mfld loss = 0.838831901550293, ntk loss = 0.9901235699653625
mfld loss = 0.8254980444908142, ntk loss = 0.9883410334587097
mfld loss = 0.7620413899421692, ntk loss = 0.9845560789108276
mfld loss = 0.7843793034553528, ntk loss = 0.984904944896698
mfld loss = 0.8479102849960327, ntk loss = 0.9911534190177917
mfld loss = 0.8471029996871948, ntk loss = 0.9904162287712097
mfld loss = 0.8016271591186523, ntk loss = 0.9855120778083801
mfld loss = 0.7874453663825989, ntk loss = 0.9859194755554199
mfld loss = 0.8095627427101135, ntk loss = 0.9888027906417847
mfld loss = 0.8415892124176025, ntk loss = 0.9904511570930481
mfld loss = 0.7462620139122009, ntk loss = 0.9852153658866882
mfld loss = 0.8131545782089233, ntk loss = 0.988312840461731
mfld loss = 0.7970320582389832, ntk loss = 0.9880219101905823
mfld loss = 0.769835352897644, ntk loss = 0.9870691299438477
mfld loss = 0.7674585580825806, ntk loss = 0.9854440093040466
mfld loss = 0.828357458114624, ntk loss = 0.9898120164871216
mfld loss = 0.7760462760925293, ntk loss = 0.9868598580360413
mfld loss = 0.8226932287216187, ntk loss = 0.9889737367630005
mfld loss = 0.7478118538856506, ntk loss = 0.985105037689209
mfld loss = 0.789332389831543, ntk loss = 0.9879743456840515
mfld loss = 0.7915632724761963, ntk loss = 0.988768458366394
mfld loss = 0.7779961228370667, ntk loss = 0.9874507188796997
mfld loss = 0.7943845391273499, ntk loss = 0.9881539940834045
mfld loss = 0.8264996409416199, ntk loss = 0.9910947680473328
mfld loss = 0.727634847164154, ntk loss = 0.9844529628753662
mfld loss = 0.7651423215866089, ntk loss = 0.9866032004356384
mfld loss = 0.7640736103057861, ntk loss = 0.9850540161132812
mfld loss = 0.7052071690559387, ntk loss = 0.9835047721862793
mfld loss = 0.6954406499862671, ntk loss = 0.9823691844940186
mfld loss = 0.797135055065155, ntk loss = 0.9896529912948608
mfld loss = 0.7185900211334229, ntk loss = 0.9833025932312012
mfld loss = 0.8232577443122864, ntk loss = 0.9896166920661926
mfld loss = 0.740771472454071, ntk loss = 0.9853398203849792
mfld loss = 0.8128437399864197, ntk loss = 0.9892460703849792
mfld loss = 0.764991819858551, ntk loss = 0.9872720241546631
mfld loss = 0.7035635709762573, ntk loss = 0.9835802912712097
mfld loss = 0.7173064947128296, ntk loss = 0.9855491518974304
mfld loss = 0.7128799557685852, ntk loss = 0.9846479296684265
mfld loss = 0.7642361521720886, ntk loss = 0.9877201914787292
mfld loss = 0.7997730374336243, ntk loss = 0.9883056282997131
mfld loss = 0.824272871017456, ntk loss = 0.9906417727470398
mfld loss = 0.7999864816665649, ntk loss = 0.9910213947296143
mfld loss = 0.7753546833992004, ntk loss = 0.9863560199737549
mfld loss = 0.7804701924324036, ntk loss = 0.9874399900436401
mfld loss = 0.7557237148284912, ntk loss = 0.9874185919761658
mfld loss = 0.6658039689064026, ntk loss = 0.9838029742240906
mfld loss = 0.6751537322998047, ntk loss = 0.981891930103302
mfld loss = 0.7257813215255737, ntk loss = 0.9867573380470276
mfld loss = 0.750958263874054, ntk loss = 0.9872669577598572
mfld loss = 0.7338668704032898, ntk loss = 0.9844932556152344
mfld loss = 0.7104942202568054, ntk loss = 0.9856881499290466
mfld loss = 0.715490996837616, ntk loss = 0.9841099381446838
mfld loss = 0.7059115171432495, ntk loss = 0.9848995804786682
mfld loss = 0.7463995814323425, ntk loss = 0.9875056147575378
mfld loss = 0.7424231767654419, ntk loss = 0.985809862613678
mfld loss = 0.6719666719436646, ntk loss = 0.9838229417800903
mfld loss = 0.7971423268318176, ntk loss = 0.9889375567436218
mfld loss = 0.7903385758399963, ntk loss = 0.9875848293304443
mfld loss = 0.7315545678138733, ntk loss = 0.9857833385467529
mfld loss = 0.6632276177406311, ntk loss = 0.9829835891723633
mfld loss = 0.6732347011566162, ntk loss = 0.9844241738319397
mfld loss = 0.7428019642829895, ntk loss = 0.9871105551719666
mfld loss = 0.66025710105896, ntk loss = 0.9821061491966248
mfld loss = 0.670289158821106, ntk loss = 0.983973503112793
mfld loss = 0.6950631737709045, ntk loss = 0.9850339293479919
mfld loss = 0.7907701134681702, ntk loss = 0.9913327693939209
mfld loss = 0.636029839515686, ntk loss = 0.9820372462272644
mfld loss = 0.6884365081787109, ntk loss = 0.9850780963897705
mfld loss = 0.6968937516212463, ntk loss = 0.9853519201278687
mfld loss = 0.6574655175209045, ntk loss = 0.9829327464103699
mfld loss = 0.7115517854690552, ntk loss = 0.9864364266395569
mfld loss = 0.7622915506362915, ntk loss = 0.9867519736289978
mfld loss = 0.6575457453727722, ntk loss = 0.9821270704269409
mfld loss = 0.7010299563407898, ntk loss = 0.9870660305023193
mfld loss = 0.7604954242706299, ntk loss = 0.9896209239959717
mfld loss = 0.6940558552742004, ntk loss = 0.9846281409263611
mfld loss = 0.70011967420578, ntk loss = 0.9855056405067444
mfld loss = 0.7287988662719727, ntk loss = 0.9870969653129578
mfld loss = 0.7086018323898315, ntk loss = 0.9866833090782166
mfld loss = 0.6366251111030579, ntk loss = 0.9827972054481506
mfld loss = 0.6205725073814392, ntk loss = 0.9812238216400146
mfld loss = 0.701994776725769, ntk loss = 0.9857926964759827
mfld loss = 0.6981416344642639, ntk loss = 0.9844852089881897
mfld loss = 0.6916690468788147, ntk loss = 0.984930157661438
mfld loss = 0.5660262703895569, ntk loss = 0.9798287749290466
mfld loss = 0.6033204793930054, ntk loss = 0.980111837387085
mfld loss = 0.6422246694564819, ntk loss = 0.9825753569602966
mfld loss = 0.6765965819358826, ntk loss = 0.9851685762405396
mfld loss = 0.6779010891914368, ntk loss = 0.9835113286972046
mfld loss = 0.6312153935432434, ntk loss = 0.9827026128768921
mfld loss = 0.6409289240837097, ntk loss = 0.9832296371459961
mfld loss = 0.6523643136024475, ntk loss = 0.9844505190849304
mfld loss = 0.7062479853630066, ntk loss = 0.9851855039596558
mfld loss = 0.7035449147224426, ntk loss = 0.9873104691505432
mfld loss = 0.627063512802124, ntk loss = 0.9826521277427673
mfld loss = 0.6438130140304565, ntk loss = 0.9841633439064026
mfld loss = 0.6730656027793884, ntk loss = 0.9859365820884705
mfld loss = 0.672963559627533, ntk loss = 0.9848622679710388
mfld loss = 0.7078279852867126, ntk loss = 0.9887469410896301
mfld loss = 0.5477235317230225, ntk loss = 0.9790723919868469
mfld loss = 0.5964356660842896, ntk loss = 0.9822170734405518
mfld loss = 0.5365551114082336, ntk loss = 0.9809668660163879
mfld loss = 0.7380779981613159, ntk loss = 0.9887682199478149
mfld loss = 0.6314921379089355, ntk loss = 0.9829688668251038
mfld loss = 0.607408881187439, ntk loss = 0.981138288974762
mfld loss = 0.6363571882247925, ntk loss = 0.9826369881629944
mfld loss = 0.6308362483978271, ntk loss = 0.9815389513969421
mfld loss = 0.6203640699386597, ntk loss = 0.9838012456893921
mfld loss = 0.6400634050369263, ntk loss = 0.9832335710525513
mfld loss = 0.6464786529541016, ntk loss = 0.9851819276809692
mfld loss = 0.5753955245018005, ntk loss = 0.9793797135353088
mfld loss = 0.6406752467155457, ntk loss = 0.9829435348510742
mfld loss = 0.69776451587677, ntk loss = 0.9866808652877808
