0,0.00086,0.954
1,0.00051,0.975
2,0.00045,0.979
3,0.00039,0.980
4,0.00038,0.983
5,0.00036,0.984
6,0.00033,0.984
7,0.00034,0.984
8,0.00031,0.986
9,0.00030,0.986
10,0.00030,0.987
11,0.00029,0.987
12,0.00027,0.988
13,0.00027,0.987
14,0.00026,0.988
15,0.00026,0.988
16,0.00027,0.988
17,0.00025,0.989
18,0.00026,0.989
19,0.00024,0.990
20,0.00022,0.990
21,0.00022,0.990
22,0.00022,0.990
23,0.00021,0.991
24,0.00022,0.991
25,0.00024,0.990
26,0.00021,0.990
27,0.00020,0.992
28,0.00020,0.991
29,0.00019,0.991
30,0.00018,0.992
31,0.00018,0.992
32,0.00018,0.992
33,0.00018,0.992
34,0.00018,0.993
35,0.00024,0.990
36,0.00018,0.992
37,0.00022,0.991
38,0.00018,0.992
39,0.00021,0.992
40,0.00018,0.992
41,0.00022,0.992
42,0.00016,0.993
43,0.00016,0.993
44,0.00015,0.993
45,0.00017,0.993
46,0.00018,0.992
47,0.00013,0.994
48,0.00014,0.994
49,0.00015,0.993
50,0.00016,0.993
51,0.00014,0.994
52,0.00019,0.992
53,0.00016,0.993
54,0.00013,0.994
55,0.00014,0.994
56,0.00013,0.994
57,0.00012,0.995
58,0.00014,0.994
59,0.00012,0.995
60,0.00012,0.995
61,0.00012,0.995
62,0.00012,0.995
63,0.00010,0.996
64,0.00009,0.996
65,0.00012,0.995
66,0.00012,0.995
67,0.00012,0.995
68,0.00016,0.994
69,0.00015,0.994
70,0.00014,0.994
71,0.00012,0.995
72,0.00010,0.996
73,0.00011,0.995
74,0.00012,0.995
75,0.00014,0.995
76,0.00010,0.995
77,0.00014,0.995
78,0.00016,0.994
79,0.00014,0.994
80,0.00015,0.995
81,0.00013,0.995
82,0.00014,0.995
83,0.00011,0.996
84,0.00010,0.996
85,0.00010,0.996
86,0.00009,0.996
87,0.00008,0.997
88,0.00010,0.996
89,0.00010,0.996
90,0.00008,0.997
91,0.00008,0.997
92,0.00008,0.997
93,0.00009,0.996
94,0.00010,0.996
95,0.00010,0.996
96,0.00018,0.994
97,0.00017,0.994
98,0.00014,0.995
99,0.00010,0.996
